year,name,engine_size,mileage(km),price(eur),link
2022,Kia Sportage,1.6 Petrol Plug-in Hybrid,19473,39900,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-phev-5dr-auto/36846975
2024,Kia Sorento,2.2 Diesel,39000,58495,https://www.donedeal.ie/cars-for-sale/kia-sorento-dsl-7-str-my23-sam-5/39515862
2019,Kia Sportage,1.6 Diesel,180000,20995,https://www.donedeal.ie/cars-for-sale/kia-sportage-gt-line-5dr/39295405
2024,Kia Ceed,1.6 Petrol Plug-in Hybrid,5000,34900,https://www.donedeal.ie/cars-for-sale/kia-xceed-phev-my24-5dr-auto-demo-delivery-kms-on/38709808
2022,Kia Sportage,1.6 Diesel Hybrid,73000,35995,https://www.donedeal.ie/cars-for-sale/kia-sportage-gt-line-5dr/39026874
2019,Kia Sportage,1.6 Diesel,158500,20900,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-5dr/37495002
2022,Kia Picanto,1.0 Petrol,60000,14995,https://www.donedeal.ie/cars-for-sale/kia-picanto-pe-1-0-my22-5dr/39348375
2017,Kia Sorento,2.2 Diesel,146449,22495,https://www.donedeal.ie/cars-for-sale/kia-sorento-2-2-crdi-kx-1-4wd-197hp-5dr/40117465
2018,Kia Soul,1.6 Diesel,107664,19950,https://www.donedeal.ie/cars-for-sale/kia-soul-1-6-dsl/31072022
2017,Kia Niro,1.6 Petrol Hybrid,196000,13995,https://www.donedeal.ie/cars-for-sale/kia-niro-hybrid-exl-5dr-auto/40016236
2022,Kia Niro,1.6 Petrol Plug-in Hybrid,87000,27995,https://www.donedeal.ie/cars-for-sale/kia-niro-phev-k4-5dr-auto/40170968
2021,Kia Stonic,1.0 Petrol,35000,18900,https://www.donedeal.ie/cars-for-sale/kia-stonic-k3-my20-5dr/38842438
2022,Kia Sportage,1.6 Diesel Hybrid,56000,32995,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-mhev-spec-special-ed-5dr/39017317
2019,Kia Sorento,2.2 Diesel,155000,27500,https://www.donedeal.ie/cars-for-sale/kia-sorento-k1-2-2d-4wd-5dr/35159997
2020,Kia Stonic,1.2 Petrol,113000,15900,https://www.donedeal.ie/cars-for-sale/kia-stonic-1-2-k1-sam-5dr/39213111
2017,Kia Sportage,1.7 Diesel,168020,17950,https://www.donedeal.ie/cars-for-sale/kia-sportage-1-7-platinum-5dr/39409338
2022,Kia Sportage,1.6 Diesel,45000,33900,https://www.donedeal.ie/cars-for-sale/kia-sportage-manual-5dr/40460044
2020,Kia Stonic,1.2 Petrol,65000,17495,https://www.donedeal.ie/cars-for-sale/kia-stonic-1-2-k1-sam-5dr-petrol/40726400
2019,Kia Sportage,1.6 Diesel,205000,19995,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-5dr/40410590
2021,Kia Sportage,1.6 Diesel Hybrid,81823,25995,https://www.donedeal.ie/cars-for-sale/kia-sportage-k2-mhev-hp-5-5dr/37473910
2024,Kia Niro,1.6 Petrol Plug-in Hybrid,23000,37900,https://www.donedeal.ie/cars-for-sale/kia-niro-phev-k4-5dr-auto/40118907
2025,Kia EV3,81.4 kWh Electric,1500,43495,https://www.donedeal.ie/cars-for-sale/kia-ev3-earth-k3-long-range-0-pcp-hp-finance-fr/39436045
2018,Kia Sorento,2.2 Diesel,156365,26995,https://www.donedeal.ie/cars-for-sale/kia-sorento-k2-5dr/39434611
2023,Kia Niro,64.8 kWh Electric,22466,32900,https://www.donedeal.ie/cars-for-sale/kia-niro-ev-k3-5dr-a-auto-0-finance-free-home-c/39719335
2020,Kia Soul,64 kWh Electric,101000,17900,https://www.donedeal.ie/cars-for-sale/kia-soul-e-soul-k3-lr-5dr-auto-0-finance-free-h/38815412
2020,Kia Stonic,1.2 Petrol,65000,17495,https://www.donedeal.ie/cars-for-sale/kia-stonic-1-2-k1-sam-5dr-petrol/38815408
2021,Kia Sorento,1.6 Petrol Plug-in Hybrid,67857,43995,https://www.donedeal.ie/cars-for-sale/kia-sorento-phev-k4-5dr-auto-free-home-charger-ava/40099606
2020,Kia Stonic,1.2 Petrol,35000,19495,https://www.donedeal.ie/cars-for-sale/kia-stonic-1-2-k1-sam-5dr-petrol/38815407
2022,Kia Sportage,1.6 Diesel,70000,32900,https://www.donedeal.ie/cars-for-sale/kia-sportage-1-6d-k3-manual-5dr/38987697
2023,Kia Niro,64.8 kWh Electric,54000,30950,https://www.donedeal.ie/cars-for-sale/kia-niro-ev-k4-5dr-auto-0-finance-free-home-cha/39691611
2017,Kia Sportage,1.7 Diesel,199558,14995,https://www.donedeal.ie/cars-for-sale/kia-sportage-1-isg-114bhp-5dr/40075188
2023,Kia Sorento,2.2 Diesel,51000,48495,https://www.donedeal.ie/cars-for-sale/kia-sorento-k3-5p-5dr-auto/40053946
2015,Kia Venga,1.4 Petrol,110600,9900,https://www.donedeal.ie/cars-for-sale/kia-venga-l-4dr/39617723
2018,Kia Ceed,1.6 Diesel,127942,16495,https://www.donedeal.ie/cars-for-sale/kia-ceed-ceed-2-isg-134bhp-5dr/39616762
2020,Kia Sportage,1.6 Diesel,138000,23495,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-mhev-5dr/40380774
2018,Kia Venga,1.4 Petrol,79000,12495,https://www.donedeal.ie/cars-for-sale/kia-venga-petrol-l-5dr/39950199
2016,Kia Carens,1.7 Diesel,130000,12450,https://www.donedeal.ie/cars-for-sale/kia-carens-ex-pe-5dr/39936984
2021,Kia Sportage,1.6 Diesel Hybrid,56700,32495,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-dct-special-my21-5-5dr-auto/40304945
2023,Kia Stonic,1.0 Petrol Hybrid,28000,25900,https://www.donedeal.ie/cars-for-sale/kia-stonic-pe-k3-dct-5dr-au-auto/39525117
2020,Kia Sportage,1.6 Diesel,233122,18500,https://www.donedeal.ie/cars-for-sale/kia-sportage-powerfull-suv-economic-car-1-6-crd/40441788
2021,Kia Rio,1.2 Petrol,42848,16500,https://www.donedeal.ie/cars-for-sale/kia-rio-1-25-k1-low-mileage/38775033
2014,Kia Sportage,1.7 Diesel,238001,11495,https://www.donedeal.ie/cars-for-sale/kia-sportage-1-7-lxe-4dr/36033288
2017,Kia Carens,1.7 Diesel,161000,13995,https://www.donedeal.ie/cars-for-sale/kia-carens-1-7-crdi-4-isg-139hp-5dr/40677608
2019,Kia Optima,1.6 Diesel,139380,15495,https://www.donedeal.ie/cars-for-sale/2019-kia-optima-1-6d-k2/40675099
2019,Kia Stonic,1.4 Petrol,101650,15950,https://www.donedeal.ie/cars-for-sale/kia-stonic-k3-1-4-petrol-two-tone/39300377
2025,Kia Picanto,1.0 Petrol,10,18995,https://www.donedeal.ie/cars-for-sale/kia-picanto-1-0-pe2-mt-delivery-kms-only/40656202
2025,Kia EV9,99.8 kWh Electric,4600,74995,https://www.donedeal.ie/cars-for-sale/kia-ev9-earth-rwd-5dr-auto-demo-sale/40656208
2022,Kia Sportage,1.6 Diesel,88231,31950,https://www.donedeal.ie/cars-for-sale/kia-sportage-2022/39139533
2017,Kia Carens,1.7 Diesel,112653,15900,https://www.donedeal.ie/cars-for-sale/kia-carens-1-7-crdi-2-isg-114bhp-5-5dr-7seats/40644261
2023,Kia Sportage,1.6 Diesel,38000,36495,https://www.donedeal.ie/cars-for-sale/kia-sportage-k4-my23-5dr/40644262
2013,Kia Venga,1.4 Diesel,120821,5995,https://www.donedeal.ie/cars-for-sale/2013-kia-venga-1-4d-ex/40626112
2021,Kia Sportage,1.6 Diesel Hybrid,44060,28900,https://www.donedeal.ie/cars-for-sale/kia-sportage-k3-mhev-spec-special-ed-5dr/38793359
2019,Kia Sportage,1.6 Diesel,198000,18495,https://www.donedeal.ie/cars-for-sale/kia-sportage-k2-5dr/38286622
2024,Kia EV6,Electric,500,65495,https://www.donedeal.ie/cars-for-sale/kia-ev6-gt-5dr-auto-0-finance-available-free-ho/35775852
