year,name,engine_size,mileage(km),price(eur),link
2016,Volkswagen Golf,1.2 Petrol,103000,15500,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-2-tsi-bluemotion/39411517
2019,Volkswagen T-Roc,1.6 Diesel,106027,20200,https://www.donedeal.ie/cars-for-sale/2019-volkswagen-t-roc-design-1-6-tdi-106k-km/40676525
2019,Volkswagen T-Roc,1.6 Diesel,134360,20500,https://www.donedeal.ie/cars-for-sale/volkswagen-t-roc-1-6-diesel-2019-mint/39139583
2023,Volkswagen Tiguan,2.0 Diesel,89527,43500,https://www.donedeal.ie/cars-for-sale/volkswagen-tiguan-sport-pack-r-line-2-0-tdi-150h/40242181
2015,Volkswagen Polo,1.0 Petrol,191365,9000,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-full-service-history-1-0-litre-p/40623823
2018,Volkswagen Golf,1.6 Diesel,154507,18500,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-6-gt-tdi/40617299
2023,Volkswagen Arteon,2.0 Diesel,64169,42950,https://www.donedeal.ie/cars-for-sale/volkswagen-arteon-automatic-2-0tdi-150hp-elegan/39909323
2016,Volkswagen Tiguan,2.0 Diesel,137000,16250,https://www.donedeal.ie/cars-for-sale/2016-volkswagen-tiguan-sport-2-0-tdi-110hp-manual/40424814
2017,Volkswagen Golf,1.2 Petrol,107000,16500,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-2-auto-comfortline/40755455
2021,Volkswagen Tiguan,2.0 Diesel,73453,44950,https://www.donedeal.ie/cars-for-sale/volkswagen-tiguan-r-line-tdi-4motion/39005005
2018,Volkswagen Passat,1.6 Diesel,205618,14950,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-highline-1-6-tdi-manual-6speed-f/39930811
2014,Volkswagen Golf,1.2 Petrol,65170,13950,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-automatic-1-2-petrol/40753287
2015,Volkswagen Polo,1.2 Petrol,61727,12950,https://www.donedeal.ie/cars-for-sale/volkswagen-polo-automatic-1-2-petrol/40751519
2019,Volkswagen Golf,1.2 Petrol,54130,20950,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-highline-1-4-automatic-petrol/40751500
2018,Volkswagen Golf,1.2 Petrol,115898,18950,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-2-petrol-automatic/40751492
2024,Volkswagen T-Roc,2.0 Diesel,67772,31000,https://www.donedeal.ie/cars-for-sale/volkswagen-t-roc-reversing-camera-2-0-tdi-116bhp/40751132
2018,Volkswagen Passat,1.6 Diesel,149364,16500,https://www.donedeal.ie/cars-for-sale/volkswagen-passat-car-located-in-tuam-garage-est/39415910
2024,Volkswagen T-Roc,2.0 Diesel,53743,33000,https://www.donedeal.ie/cars-for-sale/volkswagen-t-roc-edition-75-2-0tdi-m6f-116bhp/40745116
2023,Volkswagen Golf,1.0 Petrol,3995,29500,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-extremely-low-mileage-genuienly/40598861
2024,Volkswagen T-Roc,2.0 Diesel,23925,38500,https://www.donedeal.ie/cars-for-sale/volkswagen-t-roc-r-line-huge-spec-2-0tdi-116hp/40597317
2023,Volkswagen Taigo,1.0 Petrol,37607,28950,https://www.donedeal.ie/cars-for-sale/volkswagen-taigo-r-line-1-0-tsi-110bhp/40728213
