year,name,engine_size,mileage(km),price(eur),link
2023,Hyundai i20,1.2 Petrol,55314,22500,https://www.donedeal.ie/cars-for-sale/hyundai-i20-hyundia-i20-like-new-1-2-petrol/40708278
2025,Hyundai Ioniq,Electric,10,46950,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-6-ioniq-6-elegance-77kwh/40458138
2022,Hyundai Tucson,1.6 Diesel,66500,35950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2wd-executive-plus/40431344
2025,Hyundai i20,1.2 Petrol,18860,23450,https://www.donedeal.ie/cars-for-sale/hyundai-i20-i20-deluxe-plus/40427368
2025,Hyundai Tucson,1.6 Diesel,12000,40950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-tucson-fl-executive/40427349
2025,Hyundai Tucson,1.6 Diesel,18750,38950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-tucson-fl-comfort-plus/40427343
2025,Hyundai Tucson,1.6 Diesel,16500,44900,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-tucson-fl-executive-plus/40288011
2023,Hyundai Tucson,1.6 Diesel,36000,35950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2wd-executive/40239273
2023,Hyundai Bayon EXECUTIVE,1.0 Petrol,31095,24950,https://www.donedeal.ie/cars-for-sale/hyundai-bayon-bayon-executive-auto/40209424
2025,Hyundai Ioniq,Electric,10,80995,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-9-platinum/40177756
2017,Hyundai i20,1.2 Petrol,85314,13950,https://www.donedeal.ie/cars-for-sale/hyundai-i20-1-2-classic/40122358
2023,Hyundai Tucson,1.6 Diesel,100863,32950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2wd-executive/40042732
2024,Hyundai Tucson,1.6 Diesel,31515,39950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-plus/39739067
2022,Hyundai i10,1.0 Petrol,68864,16950,https://www.donedeal.ie/cars-for-sale/hyundai-i10-deluxe/39716036
2025,Hyundai i10,1.0 Petrol,4080,21950,https://www.donedeal.ie/cars-for-sale/hyundai-i10-deluxe-plus-ex-demo/39615277
2025,Hyundai i30,1.0 Petrol,10131,30950,https://www.donedeal.ie/cars-for-sale/hyundai-i30-petrol-nline-ex-demo/39615256
2021,Hyundai i30,1.0 Petrol,60967,19950,https://www.donedeal.ie/cars-for-sale/hyundai-i30-petrol-deluxe-turbo/39523006
2025,Hyundai Tucson,1.6 Petrol Plug-in Hybrid,10,51350,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-platinum-w-sunroof-phev-new-in-sto/39432220
2020,Hyundai Tucson,1.6 Diesel,123505,21950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-comfort-diesel/39397771
2020,Hyundai i20,1.2 Petrol,76140,16950,https://www.donedeal.ie/cars-for-sale/hyundai-i20-1-2-deluxe/39081730
2025,Hyundai Santa Fe,1.6 Petrol Plug-in Hybrid,10,72995,https://www.donedeal.ie/cars-for-sale/hyundai-santa-fe-premium-calligraphy-in-stock/39025586
2021,Hyundai i10,1.0 Petrol,68547,14950,https://www.donedeal.ie/cars-for-sale/hyundai-i10-i10-deluxe-plus/38996307
2023,Hyundai Ioniq,77.4 kWh Electric,54567,34750,https://www.donedeal.ie/cars-for-sale/hyundai-ioniq-5-77kw-platinum-long-range-battery/38628056
2022,Hyundai i30,1.0 Petrol,65000,22950,https://www.donedeal.ie/cars-for-sale/hyundai-i30-deluxe-nline/38327591
2024,Hyundai Tucson,1.6 Diesel,24656,37000,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-located-in-tuam-garage-tiny-milea/40071552
2017,Hyundai Tucson,1.7 Diesel,213631,15950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-1-7-s-bld-116ps-5dr/39469335
2019,Hyundai Tucson,1.6 Diesel,218070,16000,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-car-located-in-tuam-garage-full-l/40278361
2023,Hyundai Tucson,1.6 Diesel,59585,35950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-2wd-executive/40680486
2017,Hyundai Tucson,1.7 Diesel,105083,16750,https://www.donedeal.ie/cars-for-sale/2017-hyundai-tucson-se-nav-just-65-296-mls/40524144
2011,Hyundai Santa Fe,2.0 Diesel,341210,4995,https://www.donedeal.ie/cars-for-sale/2011-hyundai-santa-fe-2-0-2wd-classic-150hp/40674070
2016,Hyundai Tucson,2.0 Diesel,194549,14495,https://www.donedeal.ie/cars-for-sale/2016-hyundai-tucson-2-0-d-executive-4wd-automatic/40673325
2018,Hyundai Tucson,1.7 Diesel,125061,18995,https://www.donedeal.ie/cars-for-sale/2018-hyundai-tucson-1-7-d-executive-se/40673301
2015,Hyundai ix35,2.0 Diesel,150000,12000,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-2015-4-wheel-drive/40189991
2025,Hyundai Kona,Electric,10,40995,https://www.donedeal.ie/cars-for-sale/hyundai-kona-kona-ev-elegance-65kwh/39432698
2025,Hyundai i30,1.0 Petrol,10,35650,https://www.donedeal.ie/cars-for-sale/hyundai-i30-n-line-4-9-apr-pcp/39146354
2025,Hyundai INSTER order NOW FOR 252,Electric,10,20545,https://www.donedeal.ie/cars-for-sale/hyundai-inster-order-now-for-252/38394935
2025,Hyundai i20,1.2 Petrol,10,26745,https://www.donedeal.ie/cars-for-sale/hyundai-i20-pcp-available-deluxe-plus/36760181
2018,Hyundai Tucson,1.7 Diesel,173000,17495,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-executive-1-7-5dr/39348374
2011,Hyundai ix35,1.7 Diesel,156105,7950,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-style-2wd-crdi-5dr/34569968
2025,Hyundai i20,1.2 Petrol,9999,23450,https://www.donedeal.ie/cars-for-sale/hyundai-i20-i20-deluxe-plus/40438850
2011,Hyundai ix35,2.0 Diesel,334943,4950,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-2011/40325434
2017,Hyundai Tucson,1.7 Diesel,127000,14950,https://www.donedeal.ie/cars-for-sale/hyundai-tucson-1-7-d-premium/39777687
2013,Hyundai ix35,1.7 Diesel,139637,7195,https://www.donedeal.ie/cars-for-sale/2013-hyundai-ix35-1-7-celebration-diesel/40033905
2014,Hyundai ix35,1.7 Diesel,215000,7950,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-2014/40664900
