year,name,engine_size,mileage(km),price(eur),link
2017,Nissan X-Trail,1.6 Diesel,150600,15250,https://www.donedeal.ie/cars-for-sale/2017-nissan-x-trail-1-6-dci-tekna-128bhp-n-connect/40757050
2013,Nissan Qashqai,1.5 Diesel,339678,5950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-acenta-110bhp-5dr/38420218
2016,Nissan Qashqai,1.5 Diesel,254700,12950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-acenta-5dr/39938022
2019,Nissan Note,1.2 Petrol Hybrid,78176,13950,https://www.donedeal.ie/cars-for-sale/nissan-note-e-power-self-charge-hybrid/40753297
2016,Nissan Micra,1.2 Petrol,142500,6950,https://www.donedeal.ie/cars-for-sale/nissan-micra-2016/40750135
2016,Nissan Qashqai,1.5 Diesel,210000,11495,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-n-tec-110ps-5dr/38876517
2022,Nissan Qashqai,1.3 Petrol,60000,28900,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-3-hybrid-sv-4dr/40128007
2020,Nissan Micra,1.0 Petrol,25000,15995,https://www.donedeal.ie/cars-for-sale/nissan-micra-1-0-xe-cvt-195-4dr-auto/40075194
2015,Nissan X-Trail,1.6 Diesel,260000,10900,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-1-6-dsl-xe-7-seat-4dr-straight-deal/40053951
2014,Nissan Qashqai,1.2 Petrol,156894,7995,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-covenient-suv-extras-1-2-petrol-e/40191107
2018,Nissan Qashqai,1.5 Diesel,96000,17950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dsl-sv/40481505
2021,Nissan X-Trail,1.7 Diesel,144751,29950,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-1-7-dci-sve-7-seats/40438858
2021,Nissan Qashqai,1.5 Diesel,104909,23950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dsl-se-sunroof/39433676
2018,Nissan Qashqai,1.5 Diesel,127589,16950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-n-connecta-5dr-110p/39244013
2018,Nissan Micra,1.0 Petrol,111950,10950,https://www.donedeal.ie/cars-for-sale/nissan-micra-car-located-in-tuam-garage-price-dr/37100779
2018,Nissan Qashqai,1.2 Petrol,75500,17950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-2-petrol-sv/38248400
2019,Nissan Micra,1.0 Petrol,90167,13950,https://www.donedeal.ie/cars-for-sale/nissan-micra-1-0-petrol-sv/37257455
2015,Nissan Juke,1.5 Diesel,238182,6500,https://www.donedeal.ie/cars-for-sale/nissan-juke-2015/40058218
2022,Nissan Qashqai,1.3 Petrol,87854,27700,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2022/39154924
2017,Nissan Qashqai,1.5 Diesel,209141,13950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-n-vision-110ps-5dr/38213857
2016,Nissan Qashqai,1.5 Diesel,184840,12500,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-acenta-5dr/38213849
2017,Nissan X-Trail,1.6 Diesel,178000,16495,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-1-6-dci-n-vision-2wd-128bhp-5dr-13/39356298
2019,Nissan Qashqai,1.5 Diesel,138126,17950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-1-5-dci-acenta-premium-115ps-5dr/40290986
2019,Nissan X-Trail,1.7 Diesel,192000,21495,https://www.donedeal.ie/cars-for-sale/nissan-x-trail-1-7-dsl-sv-7-seat-my19-4dr-straight/39328108
2012,Nissan Qashqai,1.6 Diesel,297727,4000,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2012-4-wheel-drive/38661022
2014,Nissan Juke,1.6 Petrol,69963,7995,https://www.donedeal.ie/cars-for-sale/2014-nissan-juke-1-6-xe-petrol/40586056
2014,Nissan Qashqai,1.2 Petrol,200000,7950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2014/40531119
2014,Nissan Qashqai,1.5 Diesel,210000,7950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2014/40664834
2014,Nissan Qashqai,1.2 Petrol,156894,7995,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-covenient-suv-extras-1-2-petrol-e/40191107
