year,name,engine_size,mileage(km),price(eur),link
2017,VW Touran,1.4 Petrol,132000,16950,https://www.donedeal.ie/cars-for-sale/172-vw-touran-1-4-tsi-comfortline-auto/40620957
2018,VW Golf,1.4 Petrol,151000,15950,https://www.donedeal.ie/cars-for-sale/182-vw-golf-1-4-tsi-highline-dsg/35866551
2018,VW Caddy,2.0 Diesel,234000,19500,https://www.donedeal.ie/cars-for-sale/2018-vw-caddy-maxi-life-2-0-tdi-7-seats-auto/40623078
2016,VW Touareg,3.0 Diesel,374976,22950,https://www.donedeal.ie/cars-for-sale/2016-vw-touareg-3-0-tdi-v6-262-bhp/36141424
2016,VW Golf,1.4 Petrol,80467,15950,https://www.donedeal.ie/cars-for-sale/vw-golf-2016-1-4tsi-highline-automatic/40366393
2014,VW Polo,1.2 Petrol,85295,10450,https://www.donedeal.ie/cars-for-sale/2014-vw-polo-1-2tsi/39808749
2015,VW Golf,1.2 Petrol,60000,12950,https://www.donedeal.ie/cars-for-sale/2015-vw-golf-1-2-tsi-auto-only-60k-kms/40711252
2015,VW Polo,1.8 Petrol,128000,13500,https://www.donedeal.ie/cars-for-sale/152-vw-polo-gti-1-8-tsi-auto/40621069
2015,VW Golf,1.4 Petrol,83685,14450,https://www.donedeal.ie/cars-for-sale/2015-vw-golf-1-4tsi-highline-automatic/40048642
