year,name,engine_size,mileage(km),price(eur),link
2016,Mazda Mazda6,2.2 Diesel,184999,11950,https://www.donedeal.ie/cars-for-sale/16-mazda6-min-1-5k-trade-in-all/39845966
2015,Mazda Mazda2,1.5 Petrol,130000,9950,https://www.donedeal.ie/cars-for-sale/mazda-mazda2-1-5-75ps-executive-asp-5-4dr/39084784
2019,Mazda Mazda3,2.2 Diesel,86109,16950,https://www.donedeal.ie/cars-for-sale/mazda-mazda3-2-2-d-150ps-executive-se-4dr-ipm2-str/39465999
2018,Mazda CX-5,2.2 Diesel,114000,18900,https://www.donedeal.ie/cars-for-sale/mazda-cx-5-2wd-2-2-d-150ps-executive-se-straight-d/39661827
2017,Mazda Mazda 6,2.2 Diesel,194000,7450,https://www.donedeal.ie/cars-for-sale/2017-mazda-6-2-2-diesel-saloon-execuitive-model/40568250
2016,Mazda Demio,1.3 Petrol,76604,11950,https://www.donedeal.ie/cars-for-sale/mazda-demio-automatic-1-3-petrol/39744732
2017,Mazda Demio,1.3 Petrol,98774,12950,https://www.donedeal.ie/cars-for-sale/mazda-demio-automatic-1-3-petrol/40361720
2014,Mazda CX-5,2.2 Diesel,250600,6750,https://www.donedeal.ie/cars-for-sale/mazda-cx-5-2-2-d-150ps-sport-awd-mt-4-4wd-executiv/40483118
2017,Mazda Mazda 6,2.2 Diesel,194000,7450,https://www.donedeal.ie/cars-for-sale/2017-mazda-6-2-2-diesel-saloon-execuitive-model/40568250
