year,name,engine_size,mileage(km),price(eur),link
2019,Ford Focus,1.0 Petrol,67000,14950,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-1-0-petroltop-spec-low-mile/40776166
2020,Ford Kuga,1.5 Diesel,101000,23500,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-ecoblue-120ps-titanium/40774977
2019,Ford Focus,1.5 Diesel,164318,15950,https://www.donedeal.ie/cars-for-sale/ford-focus-st-line-tdci/40774805
2017,Ford Focus,2.0 Diesel,149222,16900,https://www.donedeal.ie/cars-for-sale/2017-ford-focus-st-2-2-0-diesel-mint/40595999
2016,Ford Kuga,2.0 Diesel,140966,12850,https://www.donedeal.ie/cars-for-sale/2016-ford-kuga-2-0-tdci-zetec-2wd-150ps-just-87k/39251612
2017,Ford Focus,1.5 Diesel,142262,12650,https://www.donedeal.ie/cars-for-sale/2017-ford-focus-titanium-1-5tdci-88k-miles/40643706
2022,Ford Focus,1.5 Diesel,45061,23950,https://www.donedeal.ie/cars-for-sale/ford-focus-trend-ecoblue-auto-estate/36524622
2017,Ford Mondeo,2.0 Diesel,197938,13250,https://www.donedeal.ie/cars-for-sale/ford-mondeo-st-line-2-0-2017/40392141
2016,Ford Fiesta,1.0 Petrol,113205,10495,https://www.donedeal.ie/cars-for-sale/2016-ford-fiesta-1-0-petrol-titanium/40771930
2015,Ford Mondeo,1.6 Diesel,221002,8500,https://www.donedeal.ie/cars-for-sale/ford-mondeo-1-6-tdci-zetec-econetic-s-s-115ps-5dr/38543209
2017,Ford Focus,1.5 Diesel,162000,12900,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-1-5-td-95ps-6speed-4dr/39348710
2017,Ford Fiesta,1.2 Petrol,152631,10950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-25-zetec/40755211
2016,Ford S-Max,2.0 Diesel,189987,11950,https://www.donedeal.ie/cars-for-sale/ford-s-max-2-0-tdci-titanium-150ps-5dr/39575606
2017,Ford Focus,1.5 Diesel,156474,11950,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-tdci/40741582
2018,Ford Focus,1.5 Diesel,184122,12500,https://www.donedeal.ie/cars-for-sale/ford-focus-car-located-in-tuam-garage-nav-system/40333538
2018,Ford Focus,1.5 Diesel,229931,10500,https://www.donedeal.ie/cars-for-sale/ford-focus-navigation-system-nct-02-26-1-5-tdci/40456674
2014,Ford Focus,1.0 Petrol,85252,8450,https://www.donedeal.ie/cars-for-sale/ford-focus-tiny-mileage-titanium-1-0-125ps/40738270
2018,Ford Fiesta,1.1 Petrol,101979,10995,https://www.donedeal.ie/cars-for-sale/2018-ford-fiesta-petrol-1-1-zetec/40734972
2017,Ford Galaxy,2.0 Diesel,235000,13495,https://www.donedeal.ie/cars-for-sale/ford-galaxy-2-0-tdci-120ps-manual-4dr-zetec-straig/40246835
2016,Ford Galaxy,2.0 Diesel,258466,13495,https://www.donedeal.ie/cars-for-sale/ford-galaxy-2-0-tdci-titanium-150ps-5dr-auto-strai/37082316
2021,Ford Kuga,1.5 Diesel,52000,26900,https://www.donedeal.ie/cars-for-sale/ford-kuga-titanium-1-5-td-120-s6-2-m6-f-4dr/39190096
2023,Ford Puma,1.0 Petrol Hybrid,51266,24995,https://www.donedeal.ie/cars-for-sale/ford-puma-automatic-top-spec-1-0l-st-line/40194574
2018,Ford C-Max,1.5 Diesel,161412,11500,https://www.donedeal.ie/cars-for-sale/ford-c-max-flash-sale-titanium-1-5-tdci-dsl/40721416
2016,Ford Kuga,2.0 Diesel,254227,10500,https://www.donedeal.ie/cars-for-sale/ford-kuga-titanium-2-0tdci-120ps/40720907
2023,Ford Puma,1.0 Petrol Hybrid,37325,26950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0l-ecob-hybrid-155ps-st-line/40624613
